name,description,website,city,state,country,region,subregion,tags,year,program,isExit,isUnicorn,isBCorp,isCurrentSession,linkedin,twitter,facebook,crunchbase,logo
DigitalOcean,"Simple, scalable cloud computing solutions built for startups and small-to-midsize businesses.",https://digitalocean.com,New York City,New York,United States,Americas,North America,Cloudtech and DevOps,2012,Techstars Boulder Accelerator,true,true,false,false,https://linkedin.com/company/digitalocean,https://twitter.com/digitalocean,https://facebook.com/DigitalOceanCloudHosting,https://crunchbase.com/organization/digitalocean,https://apimg.techstars.com/connect/images/image_files/57e2c87f808320e7b4000010/original/do-icon-logo.png
Zipline,Zipline operates the world's largest autonomous on-demand delivery system with the industry's leading instant logistics technology stack.,https://flyzipline.com,San Francisco,California,United States,Americas,North America,Mobility tech; Robotics and Drones; Supply chain technology,2011,Techstars Seattle Accelerator,false,true,false,false,https://linkedin.com/company/flyzipline,https://twitter.com/zipline,https://facebook.com/flyzipline/,https://crunchbase.com/organization/zipline-international,http://apimg.techstars.com/sf/accounts/logo/Logo_bb62f1035290ee6b0fa48b098.png
Chainalysis,"Chainalysis helps government agencies, cryptocurrency businesses, and financial institutions engage confidently with cryptocurrency.",https://chainalysis.com,New York City,New York,United States,Americas,North America,Cryptocurrency/Blockchain; Fintech,2015,"New York Barclays Accelerator, powered by Techstars",false,true,false,false,https://linkedin.com/company/chainalysis,https://twitter.com/chainalysis,https://facebook.com/Chainalysis,https://crunchbase.com/organization/chainalysis,http://apimg.techstars.com/sf/accounts/logo/Logo_996c7bbc6e856f98b0005b1cc.png
ClassPass,"ClassPass is a membership program for fitness classes across multiple gyms and studios, making working out more accessible.",https://classpass.com,New York City,New York,United States,Americas,North America,Lifestyles of Health and Sustainability and wellness; Mobile,2012,Techstars New York City Accelerator,true,true,false,false,https://linkedin.com/company/classpass,https://twitter.com/classpass,https://facebook.com/Classtivity,https://crunchbase.com/organization/classpass,https://apimg.techstars.com/connect/images/image_files/530e/5166/2155/f723/8500/0001/original/classpass.jpg
TradingView,Social network where traders exchange ideas to maximize profits,https://tradingview.com,New York City,New York,United States,Americas,North America,Big Data; Fintech,2013,Techstars Chicago Accelerator,false,true,false,false,https://linkedin.com/company/tradingview,https://twitter.com/tradingview,https://facebook.com/tradingview,https://crunchbase.com/organization/tradingview,http://apimg.techstars.com/sf/accounts/logo/Logo_4e0fc4dad222d61ef32e5f9b1.jpg
DataRobot,"DataRobot is delivering a unified AI platform for all users, all data types, and all environments to accelerate delivery of AI to production for every organization.",https://datarobot.com,Boston,Massachusetts,United States,Americas,North America,Artificial intelligence and machine learning,2013,Techstars Cloud,false,true,false,false,https://linkedin.com/company/datarobot,https://twitter.com/DataRobot,https://facebook.com/datarobotinc,https://crunchbase.com/organization/datarobot,http://apimg.techstars.com/sf/accounts/logo/Logo_2330404998976ff1bffe63cac.jpg
Outreach,Outreach is a sales engagement platform that accelerates revenue growth by optimizing interactions throughout the customer lifecycle.,https://outreach.io,Seattle,Washington,United States,Americas,North America,"Artificial intelligence and machine learning; Marketing tech; Technology, media and telecommunications",2011,Techstars Seattle Accelerator,false,true,false,false,https://linkedin.com/company/outreach-saas,https://twitter.com/outreach_io,https://facebook.com/Outreach.io/,https://crunchbase.com/organization/outreach,http://apimg.techstars.com/sf/accounts/logo/Logo_9889e25b277214abaf34b3f94.png
Remitly,Remitly is a mobile payments service that enables users to make person-to-person international money transfers.,https://remitly.com,Seattle,Washington,United States,Americas,North America,Fintech; Mobile,2011,Techstars Seattle Accelerator,true,true,false,false,https://linkedin.com/company/remitly,https://twitter.com/remitly,https://facebook.com/Remitly,https://crunchbase.com/organization/remitly,https://apimg.techstars.com/connect/images/image_files/57b35f31bbe36f877200002e/original/icon_250x250_eafa15c2d7fcb1c4dd96f515b0cce26d.png
SalesLoft,Salesloft helps thousands of the world's most successful selling teams drive more revenue with the Modern Revenue Workspace(tm).,https://salesloft.com,Atlanta,Georgia,United States,Americas,North America,Marketing tech; SaaS,2012,Techstars Boulder Accelerator,true,true,false,false,https://linkedin.com/company/salesloft,https://twitter.com/salesloft,https://facebook.com/SalesLoft,https://crunchbase.com/organization/salesloft,http://apimg.techstars.com/sf/accounts/logo/Logo_c2d92c4e418b2c080d04e4162.png
SendGrid,SendGrid delivers your transactional and marketing emails through the world's largest cloud-based email delivery platform.,https://sendgrid.com,Denver,Colorado,United States,Americas,North America,Mobile,2009,Techstars Boulder Accelerator,true,true,false,false,https://linkedin.com/company/sendgrid,https://twitter.com/Twilio,https://facebook.com/SendGrid,https://crunchbase.com/organization/sendgrid,https://apimg.techstars.com/connect/images/image_files/575f3ff434b2743463000025/original/SG_Logo_Vertical_Full_Color_Light_Background_RGB.png
